
#
# Data table for MegaTraveller ship generation program.
# I didn't think it would be quite this large!
#
# The basic format is:
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name
#
# key is a field of 4 hex digits.
# override is a single character field specifying if this entry overrides
#   lower TL entries for the same thing (:, +, *, ! or -).  If a + is present
#	the entry will always be returned.  If a - is present, the entry
#	is subject to being replaced by an equivalent item (same key, code)
#	that has a higher tech level.  If a * is present, it means that
#	lower TL devices of this key and code are no longer available at
#	this TL [i.e. improved but not replaced, used to specify turrets].
#	A : indicates that the given item MUST be unique over all items
#	whose keys start with the same two hex digits.  Furthermore, an
#	item of this kind MUST also have a quantity of exactly one.  Following
#	the : there will be another override field (+, * or - only) for this
#	item.  This allows for unique items that override lower TL things!
#	An override of ! means that this item defines a submenu.  This is
#	used to allow the user to choose individual items.  The fields
#	follow are somewhat different.  The next (third) field is another
#	key, that specifies what item code is in the sub-menu.  The fourth
#	optional field is the minimum TL that this thing becomes available.
#	And the name field is the message printed in the menu displayed to
#	the user.
# code is the UCP code (only codes [1-9A-Z] are to be printed, specifically
# lower case codes are NOT printed and a zero code is NOT printed)
# TL is the minimum TL to get this thing
# Pow, Vol, Wt, $ are power, volume, weight and price
# HP is the number of hardpoints used
# minVol is the minimum volume for the device
# Cp, Cp* are the control points and Cp multiplier (for computers, Cp is
# the maximum control point input)
# waste is a measure of wasted internal space (i.e. no life support)
# name is a text description of the item
#
# Every field except the key, the code and the override may be absent
# The special sequence %string causes all the remaining fields to take
# default values and the name becomes string
# a $ causes just that field to take a default value
# The fields indicated + above are either a constant quantity or
# a multiplicative quantity. (The latter is specified using a leading
# '*').
# Any real values can either be presented as a plain number or as a
# ratio of two numbers (use a '/' between them and no spaces).
#
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name

0000! 1000	%Hull Section
6230- D 19 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* D 20	%null
6230- E 20 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* E 21	%null
6230- F 21 2500   1350 60 11000000  10	%100 Ton Repulsor Bay

6200! 6240 13	%100 Ton Meson Gun Bay
6240- 3 13 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* 3 14	%null
6240- 5 14 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* 5 15	%null
6240- 9 15 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* 9 16	%null
6240- B 16 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* B 17	%null
6240- D 17 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* D 18	%null
6240- F 18 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay
6240* F 19	%null
6240- H 19 50000  1350 80 71000000  10	%100 Ton Meson Gun Bay

6200! 6250 16	%100 Ton Tractor Bay
6250- 2 16 50000  1350 70 41000000  10	%100 Ton Tractor Bay
6250* 2 17	%null
6250- 4 17 50000  1350 70 41000000  10	%100 Ton Tractor Bay
6250* 4 18	%null
6250- 6 18 50000  1350 70 41000000  10	%100 Ton Tractor Bay
6250* 6 19	%null
6250- 7 19 50000  1350 70 41000000  10	%100 Ton Tractor Bay
6250* 7 20	%null
6250- 8 20 50000  1350 70 41000000  10	%100 Ton Tractor Bay

6200! 6260 17	%100 Ton Disintegrator Bay
6260- 7 17 65000  1350 75 151000000 10	%100 Ton Disintegrator Bay
6260* 7 19	%null
6260- 8 19 65000  1350 75 151000000 10	%100 Ton Disintegrator Bay
6260* 8 21	%null
6260- 9 21 65000  1350 75 151000000 10	%100 Ton Disintegrator Bay

6200! 6270 21	%100 Ton Jump Damper Bay
6270- 2 21 200000 1350 80 201000000 10	%100 Ton Jump Damper Bay

6200! 6280	%100 Ton Empty Bay
6280- 0 0  $	  1350 $  1000000   10	%100 Ton Bay (Empty)

6300! 6310 5	%50 Ton Missile Bay
6310- 7 10 5	  675  25 12500000  10	%50 Ton Missile Bay
6310* 7 12	%null
6310- 8 12 5	  675  25 12500000  10	%50 Ton Missile Bay
6310* 8 14	%null
6310- 9 14 5	  675  25 12500000  10	%50 Ton Missile Bay
6310* 9 16	%null
6310- A 16 5	  675  25 12500000  10	%50 Ton Missile Bay
6310* A 18	%null
6310- B 18 5	  675  25 12500000  10	%50 Ton Missile Bay
6310* B 20	%null
6310- C 20 5	  675  25 12500000  10	%50 Ton Missile Bay

6300! 6320 10	%50 Ton Particle Accelerator Bay
6320- 3 10 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay
6320* 3 12	%null
6320- 4 12 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay
6320* 4 14	%null
6320- 5 14 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay
6320* 5 16	%null
6320- 6 16 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay
6320* 6 18	%null
6320- 7 18 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay
6320* 7 20	%null
6320- 8 20 7500   675  40 20500000  10	%50 Ton Particle Accelerator Bay

6300! 6330 10	%50 Ton Plasma Gun Bay
6330- 4 10 2500   675  35 5500000   10	%50 Ton Plasma Gun Bay
6330* 4 11	%null
6330- 5 11 2500   675  35 5500000   10	%50 Ton Plasma Gun Bay
6330* 5 12	%null
6330- 6 12 2500   675  35 5500000   10	%50 Ton Plasma Gun Bay

6300! 6340 12	%50 Ton Fusion Gun Bay
6340- 7 12 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* 7 13	%null
6340- 8 13 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* 8 14	%null
6340- 9 14 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* 9 15	%null
6340- A 15 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* A 16	%null
6340- B 16 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* B 17	%null
6340- C 17 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* C 18	%null
6340- D 18 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* D 19	%null
6340- E 19 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay
6340* E 20	%null
6340- F 20 5000   675  35 8500000   10	%50 Ton Fusion Gun Bay

6300! 6350 14	%50 Ton Repulsor Bay
6350- 3 14 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* 3 15	%null
6350- 5 15 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* 5 16	%null
6350- 7 16 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* 7 17	%null
6350- 9 17 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* 9 18	%null
6350- A 18 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* A 19	%null
6350- B 19 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* B 20	%null
6350- C 20 1250   675  30 6500000   10	%50 Ton Repulsor Bay
6350* C 21	%null
6350- D 21 1250   675  30 6500000   10	%50 Ton Repulsor Bay

6300! 6360 15	%50 Ton Meson Gun Bay
6360- 4 15 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* 4 16	%null
6360- 6 16 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* 6 17	%null
6360- 9 17 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* 9 18	%null
6360- B 18 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* B 19	%null
6360- D 19 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* D 20	%null
6360- F 20 25000  675  40 50500000  10	%50 Ton Meson Gun Bay
6360* F 21	%null
6360- H 21 25000  675  40 50500000  10	%50 Ton Meson Gun Bay

6300! 6370 18	%50 Ton Disintegrator Bay
6370- 6 18 32500  675  40 90500000  10	%50 Ton Disintegrator Bay
6370* 6 20	%null
6370- 7 20 32500  675  40 90500000  10	%50 Ton Disintegrator Bay

6300! 6380 20	%50 Ton Tractor Bay
6380- 3 20 25000  675  35 24500000  10	%50 Ton Tractor Bay
6380* 3 21	%null
6380- 5 21 25000  675  35 24500000  10	%50 Ton Tractor Bay

6300! 6390 21	%50 Ton Jump Damper Bay
6390- 1 21 100000 675  40 120500000 10	%50 Ton Jump Damper Bay

6300! 63A0	%50 Ton Empty Bay
63A0- 0 0  $	  675  $  500000    10	%50 Ton Bay (Empty)

# Turrets
6000! 6400 7	%Turrets
# Here I've figured out two different ways of representing the information:
# the first simply lets you select so many turrets  (single/double/triple)
# the second lets you select the rating of a battery and it gives the
# net quantities of power/volume etc.
# Both choices have pros and cons, the selecting individual turrets lets
# you choose an obscure number of turrets which become hard to form into
# batteries.  The second leaves some residual infomation from lower TLs
# (this could be taken care of by overriding with a null entry) and will
# not look quite as nice when displayed :-( [Note: I've added a null
# entry that overrides lower TL without replacing it]
# With both methods, it would be advisable to have a copy of the refs
# guide close at hand during a design (to give the number of turrets
# required in the former case and the TL cutoffs in the second).
# At the time of creation, I prefer the second method and have left that
# data present (the first form is still here but has a leading '#').
# changing from one to the other is reasonably easy.
# For the first case, I've defined the UCP codes [s,d,t] for single,
# double and triple turrets.  The second case has the actual battery UCP
# for the UCP code.

# Missile turrets [6-10 p73]
6400! 6410 7	%Missile Turrets
#6410- s 7  1     13.5  3   750000    1	%Missile Turret (Single)
#6410- d 7  2     13.5  6   1500000   1	%Missile Turret (Double)
#6410- t 7  3     13.5  9   2250000   1	%Missile Turret (Triple)
#6410- s 13 1     13.5  2   750000    1	%Missile Turret (Single)
#6410- d 13 2     13.5  4   1500000   1	%Missile Turret (Double)
#6410- t 13 3     13.5  6   2250000   1	%Missile Turret (Triple)
#6410- s 21 1     13.5  1   750000    1	%Missile Turret (Single)
#6410- d 21 2     13.5  2   1500000   1	%Missile Turret (Double)
#6410- t 21 3     13.5  3   2250000   1	%Missile Turret (Triple)
6410! 6411	%Single Missile Turrets
6410! 6412	%Double Missile Turrets
6410! 6413	%Triple Missile Turrets
6411- 1 7  1     13.5  3   750000    1	%One Missile Turret (Single)
6411- 2 7  3     40.5  9   2250000   3	%Three Missile Turrets (Single)
6411- 3 7  6     81    18  4500000   6	%Six Missile Turrets (Single)
6411- 4 7  12    162   36  9000000   12	%Twelve Missile Turrets (Single)
6411- 5 7  18    243   54  13500000  18	%Eighteen Missile Turrets (Single)
6411- 6 7  30    405   90  22500000  30	%Thirty Missile Turrets (Single)
6412- 3 7  6     40.5  18  4500000   3	%Three Missile Turrets (Double)
6412- 4 7  12    81    36  9000000   6	%Six Missile Turrets (Double)
6412- 5 7  18    121.5 54  13500000  9	%Nine Missile Turrets (Double)
6412- 6 7  30    202.5 90  22500000  15	%Fifteen Missile Turrets (Double)
6413- 2 7  3     13.5  9   2250000   1	%One Missile Turret (Triple)
6413- 3 7  6     27    18  4500000   2	%Two Missile Turrets (Triple)
6413- 4 7  12    54    36  9000000   4	%Four Missile Turrets (Triple)
6413- 5 7  18    81    54  13500000  6	%Six Missile Turrets (Triple)
6413- 6 7  30    135   90  22500000  10	%Ten Missile Turrets (Triple)
6411* 1 13	%null
6411- 2 13 1     13.5  2   750000    1	%One Missile Turret (Single)
6411- 3 13 3     40.5  6   2250000   3	%Three Missile Turrets (Single)
6411- 4 13 6     81    12  4500000   6	%Six Missile Turrets (Single)
6411- 5 13 12    162   24  9000000   12	%Twelve Missile Turrets (Single)
6411- 6 13 18    243   32  13500000  18	%Eighteen Missile Turrets (Single)
6411- 7 13 30    405   60  22500000  30	%Thirty Missile Turrets (Single)
6412* 3 13	%null
6412- 4 13 6     40.5  12  4500000   3	%Three Missile Turrets (Double)
6412- 5 13 12    81    24  9000000   6	%Six Missile Turrets (Double)
6412- 6 13 18    121.5 32  13500000  9	%Nine Missile Turrets (Double)
6412- 7 13 30    202.5 60  22500000  15	%Fifteen Missile Turrets (Double)
6413* 2 13	%null
6413- 3 13 3     13.5  6   2250000   1	%One Missile Turret (Triple)
6413- 4 13 6     27    12  4500000   2	%Two Missile Turrets (Triple)
6413- 5 13 12    54    24  9000000   4	%Four Missile Turrets (Triple)
6413- 6 13 18    81    32  13500000  6	%Six Missile Turrets (Triple)
6413- 7 13 30    135   60  22500000  10	%Ten Missile Turrets (Triple)
6411* 2 21	%null
6411- 3 21 1     13.5  1   750000    1	%One Missile Turret (Single)
6411- 4 21 3     40.5  3   2250000   3	%Three Missile Turrets (Single)
6411- 5 21 6     81    6   4500000   6	%Six Missile Turrets (Single)
6411- 6 21 12    162   12  9000000   12	%Twelve Missile Turrets (Single)
6411- 7 21 18    243   18  13500000  18	%Eighteen Missile Turrets (Single)
6411- 8 21 30    405   30  22500000  30	%Thirty Missile Turrets (Single)
6412* 4 21	%null
6412- 5 21 6     40.5  6   4500000   3	%Three Missile Turrets (Double)
6412- 6 21 12    81    12  9000000   6	%Six Missile Turrets (Double)
6412- 7 21 18    121.5 18  13500000  9	%Nine Missile Turrets (Double)
6412- 8 21 30    202.5 30  22500000  15	%Fifteen Missile Turrets (Double)
6413* 3 21	%null
6413- 4 21 3     13.5  3   2250000   1	%One Missile Turret (Triple)
6413- 5 21 6     27    6   4500000   2	%Two Missile Turrets (Triple)
6413- 6 21 12    54    12  9000000   4	%Four Missile Turrets (Triple)
6413- 7 21 18    81    18  13500000  6	%Six Missile Turrets (Triple)
6413- 8 21 30    135   30  22500000  10	%Ten Missile Turrets (Triple)

# Magazine Requirements [6-18 p74]
# This has not been included since it is not really part of the ship
# design process.

# Laser Turrets [6-11 p73]
# Two different kinds - pulse laser and beam laser (in separate tables)
# Beam Laser Turrets
6400! 6420 7	%Beam Laser Turrets
#6420- s 7  250   13.5  5   1000000   1	%Beam Laser Turret (Single)
#6420- d 7  500   13.5  10  2000000   1	%Beam Laser Turret (Double)
#6420- t 7  750   13.5  15  3000000   1	%Beam Laser Turret (Triple)
#6420- s 13 250   13.5  4   1000000   1	%Beam Laser Turret (Single)
#6420- d 13 500   13.5  8   2000000   1	%Beam Laser Turret (Double)
#6420- t 13 750   13.5  12  3000000   1	%Beam Laser Turret (Triple)
#6420- s 16 250   13.5  3   1000000   1	%Beam Laser Turret (Single)
#6420- d 16 500   13.5  6   2000000   1	%Beam Laser Turret (Double)
#6420- t 16 750   13.5  9   3000000   1	%Beam Laser Turret (Triple)
6420! 6421	%Single Beam Laser Turrets
6420! 6422	%Double Beam Laser Turrets
6420! 6423	%Triple Beam Laser Turrets
6421- 1 7  250   13.5  5   1000000   1	%One Beam Laser Turret (Single)
6421- 2 7  500   27    10  2000000   2	%Two Beam Laser Turrets (Single)
6421- 3 7  750   40.5  15  3000000   3	%Three Beam Laser Turrets (Single)
6421- 4 7  1500  81    30  6000000   6	%Six Beam Laser Turrets (Single)
6421- 5 7  2500  135   50  10000000  10	%Ten Beam Laser Turrets (Single)
6421- 6 7  3750  202.5 75  15000000  15	%Fifteen Beam Laser Turrets (Single)
6421- 7 7  5250  283.5 105 21000000  21	%Twenty One Beam Laser Turrets (Single)
6421- 8 7  7500  405   150 30000000  30	%Thirty Beam Laser Turrets (Single)
6422- 2 7  500   13.5  10  2000000   1	%One Beam Laser Turret (Double)
6422- 4 7  1500  40.5  30  6000000   3	%Three Beam Laser Turrets (Double)
6422- 5 7  2500  67.5  50  10000000  5	%Five Beam Laser Turrets (Double)
6422- 8 7  7500  202.5 150 30000000  15	%Fifteen Beam Laser Turrets (Double)
6423- 3 7  750   13.5  15  3000000   1	%One Beam Laser Turret (Triple)
6423- 4 7  1500  27    30  6000000   2	%Two Beam Laser Turrets (Triple)
6423- 6 7  3750  67.5  75  15000000  5	%Five Beam Laser Turrets (Triple)
6423- 7 7  5250  94.5  105 21000000  7	%Seven Beam Laser Turrets (Triple)
6423- 8 7  7500  135   150 30000000  10	%Ten Beam Laser Turrets (Triple)
6421* 1 13	%null
6421- 2 13 250   13.5  4   1000000   1	%One Beam Laser Turret (Single)
6421- 3 13 500   27    8   2000000   2	%Two Beam Laser Turrets (Single)
6421- 4 13 750   40.5  12  3000000   3	%Three Beam Laser Turrets (Single)
6421- 5 13 1500  81    24  6000000   6	%Six Beam Laser Turrets (Single)
6421- 6 13 2500  135   40  10000000  10	%Ten Beam Laser Turrets (Single)
6421- 7 13 3750  202.5 60  15000000  15	%Fifteen Beam Laser Turrets (Single)
6421- 8 13 5250  283.5 84  21000000  21	%Twenty One Beam Laser Turrets (Single)
6421- 9 13 7500  405   120 30000000  30	%Thirty Beam Laser Turrets (Single)
6422* 2 13	%null
6422- 3 13 500   13.5  8   2000000   1	%One Beam Laser Turret (Double)
6422* 4 13	%null
6422- 5 13 1500  40.5  24  6000000   3	%Three Beam Laser Turrets (Double)
6422- 6 13 2500  67.5  40  10000000  5	%Five Beam Laser Turrets (Double)
6422* 8 13	%null
6422- 9 13 7500  202.5 120 30000000  15	%Fifteen Beam Laser Turrets (Double)
6423* 3 13	%null
6423- 4 13 750   13.5  12  3000000   1	%One Beam Laser Turret (Triple)
6423- 5 13 1500  27    24  6000000   2	%Two Beam Laser Turrets (Triple)
6423* 6 13	%null
6423- 7 13 3750  67.5  60  15000000  5	%Five Beam Laser Turrets (Triple)
6423- 8 13 5250  94.5  84  21000000  7	%Seven Beam Laser Turrets (Triple)
6423- 9 13 7500  135   120 30000000  10	%Ten Beam Laser Turrets (Triple)
6421* 2 16	%null
6421- 3 16 250   13.5  3   1000000   1	%One Beam Laser Turret (Single)
6421- 4 16 500   27    6   2000000   2	%Two Beam Laser Turrets (Single)
6421- 5 16 750   40.5  9   3000000   3	%Three Beam Laser Turrets (Single)
6421- 6 16 1500  81    18  6000000   6	%Six Beam Laser Turrets (Single)
6421- 7 16 2500  135   30  10000000  10	%Ten Beam Laser Turrets (Single)
6421- 8 16 3750  202.5 45  15000000  15	%Fifteen Beam Laser Turrets (Single)
6421- 9 16 5250  283.5 63  21000000  21	%Twenty One Beam Laser Turrets (Single)
6421- A 16 7500  405   90  30000000  30	%Thirty Beam Laser Turrets (Single)
6422* 3 16	%null
6422- 4 16 500   13.5  6   2000000   1	%One Beam Laser Turret (Double)
6422* 5 16	%null
6422- 6 16 1500  40.5  18  6000000   3	%Three Beam Laser Turrets (Double)
6422- 7 16 2500  67.5  30  10000000  5	%Five Beam Laser Turrets (Double)
6422* 9 16	%null
6422- A 16 7500  202.5 90  30000000  15	%Fifteen Beam Laser Turrets (Double)
6423* 4 16	%null
6423- 5 16 750   13.5  9   3000000   1	%One Beam Laser Turret (Triple)
6423- 6 16 1500  27    18  6000000   2	%Two Beam Laser Turrets (Triple)
6423* 7 16	%null
6423- 8 16 3750  67.5  45  15000000  5	%Five Beam Laser Turrets (Triple)
6423- 9 16 5250  94.5  63  21000000  7	%Seven Beam Laser Turrets (Triple)
6423- A 16 7500  135   90  30000000  10	%Ten Beam Laser Turrets (Triple)

# Pulse Laser Turrets
6400! 6430 7	%Pulse Laser Turrets
#6430- s 7  250   13.5  5   500000    1	%Pulse Laser Turret (Single)
#6430- d 7  500   13.5  10  1000000   1	%Pulse Laser Turret (Double)
#6430- t 7  750   13.5  15  1500000   1	%Pulse Laser Turret (Triple)
#6430- s 13 250   13.5  4   500000    1	%Pulse Laser Turret (Single)
#6430- d 13 500   13.5  8   1000000   1	%Pulse Laser Turret (Double)
#6430- t 13 750   13.5  12  1500000   1	%Pulse Laser Turret (Triple)
#6430- s 16 250   13.5  3   500000    1	%Pulse Laser Turret (Single)
#6430- d 16 500   13.5  6   1000000   1	%Pulse Laser Turret (Double)
#6430- t 16 750   13.5  9   1500000   1	%Pulse Laser Turret (Triple)
6430! 6431	%Single Pulse Laser Turrets
6430! 6432	%Double Pulse Laser Turrets
6430! 6433	%Triple Pulse Laser Turrets
6431- 1 7  250   13.5  5   500000    1	%One Pulse Laser Turret (Single)
6431- 2 7  750   40.5  15  1500000   3	%Three Pulse Laser Turrets (Single)
6431- 3 7  1500  81    30  3000000   6	%Six Pulse Laser Turrets (Single)
6431- 4 7  2500  135   50  5000000   10	%Ten Pulse Laser Turrets (Single)
6431- 5 7  5250  283.5 105 10500000  21	%Twenty One Pulse Laser Turrets (Single)
6431- 6 7  7500  405   150 15000000  30	%Thirty Pulse Laser Turrets (Single)
6432- 3 7  1500  40.5  30  3000000   3	%Three Pulse Laser Turrets (Double)
6432- 4 7  2500  67.5  50  5000000   5	%Five Pulse Laser Turrets (Double)
6432- 6 7  7500  202.5 150 15000000  15	%Fifteen Pulse Laser Turrets (Double)
6433- 2 7  750   13.5  15  1500000   1	%One Pulse Laser Turret (Triple)
6433- 3 7  1500  27    30  3000000   2	%Two Pulse Laser Turrets (Triple)
6433- 5 7  5250  94.5  105 10500000  7	%Seven Pulse Laser Turrets (Triple)
6433- 6 7  7500  135   150 15000000  10	%Ten Pulse Laser Turrets (Triple)
6431* 1 13	%null
6431- 2 13 250   13.5  4   500000    1	%One Pulse Laser Turret (Single)
6431- 3 13 750   40.5  12  1500000   3	%Three Pulse Laser Turrets (Single)
6431- 4 13 1500  81    24  3000000   6	%Six Pulse Laser Turrets (Single)
6431- 5 13 2500  135   40  5000000   10	%Ten Pulse Laser Turrets (Single)
6431- 6 13 5250  283.5 84  10500000  21	%Twenty One Pulse Laser Turrets (Single)
6431- 7 13 7500  405   120 15000000  30	%Thirty Pulse Laser Turrets (Single)
6432* 3 13	%null
6432- 4 13 1500  40.5  24  3000000   3	%Three Pulse Laser Turrets (Double)
6432- 5 13 2500  67.5  40  5000000   5	%Five Pulse Laser Turrets (Double)
6432* 6 13	%null
6432- 7 13 7500  202.5 120 15000000  15	%Fifteen Pulse Laser Turrets (Double)
6433* 2 13	%null
6433- 3 13 750   13.5  12  1500000   1	%One Pulse Laser Turret (Triple)
6433- 4 13 1500  27    24  3000000   2	%Two Pulse Laser Turrets (Triple)
6433* 5 13	%null
6433- 6 13 5250  94.5  84  10500000  7	%Seven Pulse Laser Turrets (Triple)
6433- 7 13 7500  135   120 15000000  10	%Ten Pulse Laser Turrets (Triple)
6431* 2 16	%null
6431- 3 16 250   13.5  3   500000    1	%One Pulse Laser Turret (Single)
6431- 4 16 750   40.5  9   1500000   3	%Three Pulse Laser Turrets (Single)
6431- 5 16 1500  81    18  3000000   6	%Six Pulse Laser Turrets (Single)
6431- 6 16 2500  135   30  5000000   10	%Ten Pulse Laser Turrets (Single)
6431- 7 16 5250  283.5 63  10500000  21	%Twenty One Pulse Laser Turrets (Single)
6431- 8 16 7500  405   90  15000000  30	%Thirty Pulse Laser Turrets (Single)
6432* 4 16	%null
6432- 5 16 1500  40.5  18  3000000   3	%Three Pulse Laser Turrets (Double)
6432- 6 16 2500  67.5  30  5000000   5	%Five Pulse Laser Turrets (Double)
6432* 7 16	%null
6432- 8 16 7500  202.5 90  15000000  15	%Fifteen Pulse Laser Turrets (Double)
6433* 3 16	%null
6433- 4 16 750   13.5  9   1500000   1	%One Pulse Laser Turret (Triple)
6433- 5 16 1500  27    18  3000000   2	%Two Pulse Laser Turrets (Triple)
6433* 6 16	%null
6433- 7 16 5250  94.5  63  10500000  7	%Seven Pulse Laser Turrets (Triple)
6433- 8 16 7500  135   90  15000000  10	%Ten Pulse Laser Turrets (Triple)

# Particle Accelerator Turrets [6-12 p73]
6400! 6470 14	%Particle Accelerator Barbets
#6470- s 14 1250  67.5  25  4000000   1	%Particle Accelerator Turret
#6470- s 15 1250  40.5  12  3000000   1	%Particle Accelerator Turret
#6470- s 16 1250  27    9   3000000   1	%Particle Accelerator Turret
#6470- s 18 1250  13.5  6   3000000   1	%Particle Accelerator Turret
6470- 1 14 1250  67.5  25  4000000   1	%One Particle Accelerator Turret
6470- 2 14 2500  135   50  8000000   2	%Two Particle Accelerator Turrets
6470- 3 14 5000  270   100 16000000  4	%Four Particle Accelerator Turrets
6470- 4 14 7500  405   150 24000000  6	%Six Particle Accelerator Turrets
6470- 5 14 10000 540   200 32000000  8	%Eight Particle Accelerator Turrets
6470- 6 14 12500 675   250 40000000  10	%Ten Particle Accelerator Turrets
6470* 1 15	%null
6470- 2 15 1250  40.5  12  3000000   1	%One Particle Accelerator Turret
6470- 3 15 2500  81    24  6000000   2	%Two Particle Accelerator Turrets
6470- 4 15 5000  162   48  12000000  4	%Four Particle Accelerator Turrets
6470- 5 15 7500  243   72  18000000  6	%Six Particle Accelerator Turrets
6470- 6 15 10000 324   96  24000000  8	%Eight Particle Accelerator Turrets
6470- 7 15 12500 405   120 30000000  10	%Ten Particle Accelerator Turrets
6470* 2 16	%null
6470- 3 16 1250  27    9   3000000   1	%One Particle Accelerator Turret
6470- 4 16 2500  54    18  6000000   2	%Two Particle Accelerator Turrets
6470- 5 16 5000  108   36  12000000  4	%Four Particle Accelerator Turrets
6470- 6 16 7500  162   54  18000000  6	%Six Particle Accelerator Turrets
6470- 7 16 10000 216   72  24000000  8	%Eight Particle Accelerator Turrets
6470- 8 16 12500 270   90  30000000  10	%Ten Particle Accelerator Turrets
6470* 3 18	%null
6470- 4 18 1250  13.5  6   3000000   1	%One Particle Accelerator Turret
6470- 5 18 2500  81    12  6000000   2	%Two Particle Accelerator Turrets
6470- 6 18 5000  54    24  12000000  4	%Four Particle Accelerator Turrets
6470- 7 18 7500  81    36  18000000  6	%Six Particle Accelerator Turrets
6470- 8 18 10000 108   48  24000000  8	%Eight Particle Accelerator Turrets
6470- 9 18 12500 135   60  30000000  10	%Ten Particle Accelerator Turrets

# Plasma Gun Turrets [6-13 p73]
6400! 6450 10	%Plasma Gun Turrets
#6450- s 10 250   27    5   1500000   1	%Plasma Gun Turret
#6450- s 11 250   27    4   1500000   1	%Plasma Gun Turret
#6450- s 12 250   27    3   1500000   1	%Plasma Gun Turret
#6450- s 16 250   27    2   1500000   1	%Plasma Gun Turret
6450- 1 10 250   27    5   1500000   1	%One Plasma Gun Turret
6450- 2 10 1000  108   20  6000000   4	%Four Plasma Gun Turrets
6450- 3 10 2500  270   50  15000000  10	%Ten Plasma Gun Turrets
6450- 4 10 4000  432   80  24000000  16	%Sixteen Plasma Gun Turrets
6450- 5 10 5000  540   100 30000000  20	%Twenty Plasma Gun Turrets
6450* 1 11	%null
6450- 2 11 250   27    4   1500000   1	%One Plasma Gun Turret
6450- 3 11 1000  108   16  6000000   4	%Four Plasma Gun Turrets
6450- 4 11 2500  270   40  15000000  10	%Ten Plasma Gun Turrets
6450- 5 11 4000  432   64  24000000  16	%Sixteen Plasma Gun Turrets
6450- 6 11 5000  540   80  30000000  20	%Twenty Plasma Gun Turrets
6450* 2 12	%null
6450- 3 12 250   27    3   1500000   1	%One Plasma Gun Turret
6450- 4 12 1000  108   12  6000000   4	%Four Plasma Gun Turrets
6450- 5 12 2500  270   30  15000000  10	%Ten Plasma Gun Turrets
6450- 6 12 4000  432   48  24000000  16	%Sixteen Plasma Gun Turrets
6450- 7 12 5000  540   60  30000000  20	%Twenty Plasma Gun Turrets
6450* 3 16	%null
6450- 4 16 250   27    2   1500000   1	%One Plasma Gun Turret
6450- 5 16 1000  108   8   6000000   4	%Four Plasma Gun Turrets
6450- 6 16 2500  270   20  15000000  10	%Ten Plasma Gun Turrets
6450- 7 16 4000  432   32  24000000  16	%Sixteen Plasma Gun Turrets
6450- 8 16 5000  540   40  30000000  20	%Twenty Plasma Gun Turrets

# Fusion Gun Turrets [6-14 p74]
6400! 6460 12	%Fusion Gun Turrets
#6460- s 12 500   27    5   2000000   1	%Fusion Gun Turret (Single)
#6460- d 12 1000  27    10  4000000   1	%Fusion Gun Turret (Double)
#6460- s 14 500   27    4   2000000   1	%Fusion Gun Turret (Single)
#6460- d 14 1000  27    8   4000000   1	%Fusion Gun Turret (Double)
#6460- s 17 500   27    3   2000000   1	%Fusion Gun Turret (Single)
#6460- d 17 1000  27    6   4000000   1	%Fusion Gun Turret (Double)
6460! 6461	%Single Fusion Gun Turrets
